From,Sent,X-Received,Received_1,Received_2,Received_3,Received_4,Received_5,Sent_time_and_timezone,X-Received_time_and_timezone,Received_1_time_and_timezone,Received_2_time_and_timezone,Received_3_time_and_timezone,Received_4_time_and_timezone,Sent_sa,X-Received_sa,Received_1_sa,Received_2_sa,Received_3_sa,Received_4_sa
Japan-Africa / Latin America Coding Contest 2022 <noreply@tracks.run>,"Sat, 17 Sep 2022 23:00:31 +0000","Sat, 17 Sep 2022 16:00:32 -0700","Sat, 17 Sep 2022 16:00:32 -0700","Sat, 17 Sep 2022 16:00:32 -0700",2022-09-17 23:00:31.559831876 +0000 ,,,23:00:31 +0000,16:00:32 -0700,16:00:32 -0700,16:00:32 -0700,,,00:52:31,00:52:32,00:52:32,00:52:32,,
"""Clarence Sithole (via LinkedIn)"" <messages-noreply@linkedin.com>","Mon, 10 Jan 2022 05:25:09 +0000","Sun, 09 Jan 2022 21:25:12 -0800","Sun, 9 Jan 2022 21:25:12 -0800","Sun, 09 Jan 2022 21:25:12 -0800",,,,05:25:09 +0000,21:25:12 -0800,21:25:12 -0800,21:25:12 -0800,,,07:17:09,07:17:12,07:17:12,07:17:12,,
"Clementine Mashile via LinkedIn
 <messaging-digest-noreply@linkedin.com>","Wed, 16 Nov 2022 15:21:40 +0000","Wed, 16 Nov 2022 07:21:41 -0800","Wed, 16 Nov 2022 07:21:41 -0800","Wed, 16 Nov 2022 07:21:41 -0800",,,,15:21:40 +0000,07:21:41 -0800,07:21:41 -0800,07:21:41 -0800,,,17:13:40,17:13:41,17:13:41,17:13:41,,
Google Forms <forms-receipts-noreply@google.com>,"Tue, 20 Jun 2023 15:43:42 +0000","Tue, 20 Jun 2023 08:43:43 -0700","Tue, 20 Jun 2023 08:43:43 -0700","Tue, 20 Jun 2023 08:43:42 -0700",,,,15:43:42 +0000,08:43:43 -0700,08:43:43 -0700,08:43:42 -0700,,,17:35:42,17:35:43,17:35:43,17:35:42,,
Google Forms <forms-receipts-noreply@google.com>,"Tue, 04 Jul 2023 16:03:10 +0000","Tue, 04 Jul 2023 09:03:11 -0700","Tue, 4 Jul 2023 09:03:11 -0700","Tue, 04 Jul 2023 09:03:11 -0700",,,,16:03:10 +0000,09:03:11 -0700,09:03:11 -0700,09:03:11 -0700,,,17:55:10,17:55:11,17:55:11,17:55:11,,
Google Forms <forms-receipts-noreply@google.com>,"Wed, 21 Jun 2023 15:11:56 +0000","Wed, 21 Jun 2023 08:11:56 -0700","Wed, 21 Jun 2023 08:11:56 -0700","Wed, 21 Jun 2023 08:11:56 -0700",,,,15:11:56 +0000,08:11:56 -0700,08:11:56 -0700,08:11:56 -0700,,,17:03:56,17:03:56,17:03:56,17:03:56,,
Google Forms <forms-receipts-noreply@google.com>,"Wed, 21 Jun 2023 15:54:02 +0000","Wed, 21 Jun 2023 08:54:03 -0700","Wed, 21 Jun 2023 08:54:03 -0700","Wed, 21 Jun 2023 08:54:03 -0700",,,,15:54:02 +0000,08:54:03 -0700,08:54:03 -0700,08:54:03 -0700,,,17:46:02,17:46:03,17:46:03,17:46:03,,
Google Forms <forms-receipts-noreply@google.com>,"Thu, 22 Jun 2023 15:27:42 +0000","Thu, 22 Jun 2023 08:27:42 -0700","Thu, 22 Jun 2023 08:27:43 -0700","Thu, 22 Jun 2023 08:27:42 -0700",,,,15:27:42 +0000,08:27:42 -0700,08:27:43 -0700,08:27:42 -0700,,,17:19:42,17:19:42,17:19:43,17:19:42,,
Google Forms <forms-receipts-noreply@google.com>,"Fri, 23 Jun 2023 15:11:17 +0000","Fri, 23 Jun 2023 08:11:18 -0700","Fri, 23 Jun 2023 08:11:18 -0700","Fri, 23 Jun 2023 08:11:18 -0700",,,,15:11:17 +0000,08:11:18 -0700,08:11:18 -0700,08:11:18 -0700,,,17:03:17,17:03:18,17:03:18,17:03:18,,
Google Cloud Platform <CloudPlatform-noreply@google.com>,"Thu, 20 Apr 2023 08:01:54 -0700","Thu, 20 Apr 2023 08:01:56 -0700","Thu, 20 Apr 2023 08:01:57 -0700","Thu, 20 Apr 2023 08:01:56 -0700",,,,08:01:54 -0700,08:01:56 -0700,08:01:57 -0700,08:01:56 -0700,,,16:53:54,16:53:56,16:53:57,16:53:56,,
Google Cloud Platform <CloudPlatform-noreply@google.com>,"Thu, 25 May 2023 08:16:14 -0700","Thu, 25 May 2023 08:16:14 -0700","Thu, 25 May 2023 08:16:15 -0700","Thu, 25 May 2023 08:16:14 -0700",,,,08:16:14 -0700,08:16:14 -0700,08:16:15 -0700,08:16:14 -0700,,,17:08:14,17:08:14,17:08:15,17:08:14,,
Google Cloud Platform <CloudPlatform-noreply@google.com>,"Mon, 05 Jun 2023 23:25:11 -0700","Mon, 05 Jun 2023 23:25:11 -0700","Mon, 5 Jun 2023 23:25:11 -0700","Mon, 05 Jun 2023 23:25:11 -0700",,,,23:25:11 -0700,23:25:11 -0700,23:25:11 -0700,23:25:11 -0700,,,08:17:11,08:17:11,08:17:11,08:17:11,,
Business Insider via LinkedIn <newsletters-noreply@linkedin.com>,"Fri, 14 Oct 2022 11:21:51 +0000","Fri, 14 Oct 2022 04:21:53 -0700","Fri, 14 Oct 2022 04:21:54 -0700","Fri, 14 Oct 2022 04:21:53 -0700",,,,11:21:51 +0000,04:21:53 -0700,04:21:54 -0700,04:21:53 -0700,,,13:13:51,13:13:53,13:13:54,13:13:53,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 17 Apr 2023 09:59:49 +0000","Mon, 17 Apr 2023 02:59:51 -0700","Mon, 17 Apr 2023 02:59:51 -0700","Mon, 17 Apr 2023 02:59:50 -0700",,,,09:59:49 +0000,02:59:51 -0700,02:59:51 -0700,02:59:50 -0700,,,11:51:49,11:51:51,11:51:51,11:51:50,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sun, 4 Jun 2023 09:50:26 +0000","Sun, 04 Jun 2023 02:50:28 -0700","Sun, 4 Jun 2023 02:50:29 -0700","Sun, 04 Jun 2023 02:50:28 -0700",,,,09:50:26 +0000,02:50:28 -0700,02:50:29 -0700,02:50:28 -0700,,,11:42:26,11:42:28,11:42:29,11:42:28,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sun, 9 Jul 2023 09:54:08 +0000","Sun, 09 Jul 2023 02:54:11 -0700","Sun, 9 Jul 2023 02:54:11 -0700","Sun, 09 Jul 2023 02:54:11 -0700",,,,09:54:08 +0000,02:54:11 -0700,02:54:11 -0700,02:54:11 -0700,,,11:46:08,11:46:11,11:46:11,11:46:11,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sat, 8 Apr 2023 09:55:59 +0000","Sat, 08 Apr 2023 02:56:02 -0700","Sat, 8 Apr 2023 02:56:02 -0700","Sat, 08 Apr 2023 02:56:02 -0700",,,,09:55:59 +0000,02:56:02 -0700,02:56:02 -0700,02:56:02 -0700,,,11:47:59,11:48:02,11:48:02,11:48:02,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 10 Apr 2023 10:17:55 +0000","Mon, 10 Apr 2023 03:17:59 -0700","Mon, 10 Apr 2023 03:17:59 -0700","Mon, 10 Apr 2023 03:17:59 -0700",,,,10:17:55 +0000,03:17:59 -0700,03:17:59 -0700,03:17:59 -0700,,,12:09:55,12:09:59,12:09:59,12:09:59,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Tue, 19 Sep 2023 09:47:16 +0000","Tue, 19 Sep 2023 02:47:21 -0700","Tue, 19 Sep 2023 02:47:21 -0700","Tue, 19 Sep 2023 02:47:21 -0700",,,,09:47:16 +0000,02:47:21 -0700,02:47:21 -0700,02:47:21 -0700,,,11:39:16,11:39:21,11:39:21,11:39:21,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sun, 3 Sep 2023 09:53:33 +0000","Sun, 03 Sep 2023 02:53:37 -0700","Sun, 3 Sep 2023 02:53:37 -0700","Sun, 03 Sep 2023 02:53:37 -0700",,,,09:53:33 +0000,02:53:37 -0700,02:53:37 -0700,02:53:37 -0700,,,11:45:33,11:45:37,11:45:37,11:45:37,,
Business Insider via LinkedIn <newsletters-noreply@linkedin.com>,"Thu, 22 Sep 2022 20:00:17 +0000","Thu, 22 Sep 2022 13:00:19 -0700","Thu, 22 Sep 2022 13:00:20 -0700","Thu, 22 Sep 2022 13:00:19 -0700",,,,20:00:17 +0000,13:00:19 -0700,13:00:20 -0700,13:00:19 -0700,,,21:52:17,21:52:19,21:52:20,21:52:19,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 23 Feb 2023 03:20:41 -0800","Thu, 23 Feb 2023 03:20:41 -0800","Thu, 23 Feb 2023 03:20:41 -0800","Thu, 23 Feb 2023 03:20:41 -0800",,,,03:20:41 -0800,03:20:41 -0800,03:20:41 -0800,03:20:41 -0800,,,13:12:41,13:12:41,13:12:41,13:12:41,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 07 Mar 2023 05:44:52 -0800","Tue, 07 Mar 2023 05:44:52 -0800","Tue, 7 Mar 2023 05:44:52 -0800","Tue, 07 Mar 2023 05:44:52 -0800",,,,05:44:52 -0800,05:44:52 -0800,05:44:52 -0800,05:44:52 -0800,,,15:36:52,15:36:52,15:36:52,15:36:52,,
